Date,Forecast,Lower,Upper
2025-01-07,66897.23499547779,64306.688954451594,69929.53922448517
2025-01-08,66913.34165376617,64288.70953579372,69603.10172560252
2025-01-09,66923.40709147592,64332.80179511812,69707.9176905238
2025-01-10,66925.15065961846,64271.649658392984,69777.0643940621
2025-01-11,66934.48184397828,64298.628768832976,69738.01234299525
2025-01-12,66941.35704365719,64316.644921653446,69382.91482763899
2025-01-13,66970.1913856259,64337.27190398928,69643.99347210905
2025-01-14,66979.2877966891,64225.640209923986,69440.7051770505
2025-01-15,66990.47894727252,64324.98282593791,69927.0708145752
2025-01-16,66996.15783774317,64200.33932743262,69732.82333673562
2025-01-17,66994.15267958595,64365.551305310284,69730.34138351452
2025-01-18,67000.46378194816,64288.7132734372,69636.02152009422
2025-01-19,67005.11840200711,64353.93701646904,69492.87389459964
2025-01-20,67032.58119218529,64410.88813125706,69769.48217938546
2025-01-21,67041.18249101806,64413.92322012275,69747.07562796993
2025-01-22,67052.76008080987,64347.31991863036,69737.59842472695
2025-01-23,67059.6901748798,64332.42126514093,69762.6347915454
2025-01-24,67059.7632626673,64458.446782204184,69887.65051974954
2025-01-25,67068.92248398293,64375.123024127635,69846.66110374974
2025-01-26,67077.12043783865,64421.44529390393,69580.55753542445
2025-01-27,67108.73199382334,64542.82398165527,69772.10131596673
2025-01-28,67121.98527781392,64380.9220027879,69736.96690103917
2025-01-29,67138.60637252212,64423.07654800584,69850.41870194871
2025-01-30,67150.85340793895,64557.376925446246,69794.2501354891
2025-01-31,67156.39557973668,64353.22280772741,69601.79231579923
2025-02-01,67171.05467688847,64594.71963758827,69845.63476039188
2025-02-02,67184.66493671271,64655.788739445,69688.52983515491
2025-02-03,67221.48871335956,64625.574715612325,69977.50471573079
2025-02-04,67239.65005715922,64664.45307850692,69912.46319315486
2025-02-05,67260.78168055862,64492.37189770398,70108.529126439
2025-02-06,67277.06093224653,64553.31248204301,70199.61375696049
2025-02-07,67286.09027672184,64743.2942201017,70071.35074025343
2025-02-08,67303.6398333611,64425.959355193234,69880.42803283244
2025-02-09,67319.50778011106,64684.406508553446,70085.84781067647
2025-02-10,67357.93610895319,64912.314772243684,70076.75975365842
2025-02-11,67377.04384556122,64555.19289089457,69881.346159394
2025-02-12,67398.47323699089,64761.2372045954,70105.48682980056
2025-02-13,67414.42456908498,64674.15355423826,70091.00785930722
2025-02-14,67422.53516141462,64890.09656220642,70052.41280776839
2025-02-15,67438.62015306982,64646.595387919464,69989.7520007112
2025-02-16,67452.53095035107,64708.13837258492,70183.9391797726
2025-02-17,67488.5688939035,64737.07213689817,70030.0577306568
2025-02-18,67504.91633026699,64633.33044749507,70127.2997780624
2025-02-19,67523.28066406139,64569.2692723271,70181.03664821056
2025-02-20,67535.92712239256,64865.97965623786,70349.98506004049
2025-02-21,67540.55584453966,64932.724769864726,70346.00654599209
2025-02-22,67553.04096880162,64898.45547246511,70299.61087330309
2025-02-23,67563.28763767002,64861.068998935945,70317.72701020617
2025-02-24,67595.64451905435,65042.67684950502,70509.60079379115
2025-02-25,67608.33405763446,64838.64422658665,70291.52184924416
2025-02-26,67623.0960497966,64954.66673427204,70162.00355949426
2025-02-27,67632.22027871905,65135.26795122867,70218.56034359726
2025-02-28,67633.42381539359,64707.84470047566,70403.81510223722
2025-03-01,67642.59063832881,65007.49985197318,70356.29065005298
2025-03-02,67649.62946289736,64801.06631359504,70222.67753155518
2025-03-03,67678.88733789582,65021.83548545643,70265.03702336807
2025-03-04,67688.5811747365,64995.99711496606,70153.99717810005
2025-03-05,67700.44274728034,64902.32699902122,70518.50573686154
2025-03-06,67706.75283856776,64980.057164905505,70409.18098688348
2025-03-07,67705.22007712867,65257.30992442496,70504.0621366734
2025-03-08,67711.72205188795,64856.99342564085,70264.52793532549
2025-03-09,67716.1645344321,65193.08803439969,70486.52700317324
2025-03-10,67742.89630767307,65237.2441960733,70501.46420426611
2025-03-11,67750.14171345279,65130.58119946409,70641.42427850535
2025-03-12,67759.6464116915,65083.55502802182,70744.92609717428
2025-03-13,67763.71199096905,65002.65867269034,70398.4804183061
2025-03-14,67760.07494717809,64843.85424204014,70460.6368618366
2025-03-15,67764.64760448184,65123.51460080242,70537.1566060223
2025-03-16,67767.37680441109,65164.909863484594,70581.73918799411
2025-03-17,67792.6578712532,65303.5407620371,70440.9321938526
2025-03-18,67798.76598724973,65114.64810650969,70670.42967683206
2025-03-19,67807.50050246627,65100.49618023962,70461.3463988345
2025-03-20,67811.2178618272,64986.3268382466,70666.07597030372
2025-03-21,67807.70871761584,65195.517109025306,70525.22359879556
2025-03-22,67812.93686081865,65008.61291448913,70467.84945515374
